"Источник трафика","Площадка","Страна","Визиты","Посетители","Отказы","Время на сайте","Целевые посетители (Переход в Telegram)","Целевые посетители (Переход в WhatsApp)","Целевые посетители (Автоцель: клик по email)","Целевые посетители (Отправка формы (go to thank-you-page))","Целевые посетители (Клик кнопки Звонок)","Целевые посетители (Клик номера телефона (footer))"
"Переходы по рекламе","com.fc.goods.sort.matching.puzzle.triplemaster","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.fc.p.cp.jelly.mukbang.asmr.live.diy","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.fc.p.gp.skincare.makeup.makeover.asmr.game","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.fc.p.hk.knot.tangle.rope.twist.puzzle","Узбекистан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.fc.p.zto.tip.tap.ticktock.rigolo.challenge.minigames","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.fc.rb.pl.superhero.robot.merge.master","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.fc.tt.pl.superhero.car.merge.master","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.fc.tt.pl.superhero.car.merge.master","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.feofun.elementalmaster","Азербайджан","1","1","0.0","00:00:56","0","0","0","0","0","0"
"Переходы по рекламе","com.fgs.number.run","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.fidget.toys.hklr.mi","Армения","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.fidget.toys.hklr.mi","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.fighter.reversesinging","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.fingerlab.word.blockpuzzles","Беларусь","1","1","1.0","00:00:06","0","0","0","0","0","0"
"Переходы по рекламе","com.fingersoft.hillclimb","Не определено","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.fingersoft.hillclimb","Казахстан","1","1","0.0","00:00:01","0","0","0","0","0","0"
"Переходы по рекламе","com.flycar.rr.mi","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.fpg.antistress.relaxing","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.fpg.asmrfeet.care","Казахстан","1","1","0.0","00:00:18","0","0","0","0","0","0"
"Переходы по рекламе","com.fpg.bike.racing","Кыргызстан","1","1","0.0","00:00:21","0","0","0","0","0","0"
"Переходы по рекламе","com.fpg.bike.racing","Молдова","1","1","0.0","00:00:23","0","0","0","0","0","0"
"Переходы по рекламе","com.fpg.build.car","Кыргызстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.fpg.build.queen","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.fpg.crazy.punch","Азербайджан","1","1","0.0","00:01:35","0","0","0","0","0","0"
